"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
2007	6	19	130	12848	"MS"
2007	7	20	137	14665	"MS"
2007	8	21	144	14590	"MS"
2007	9	22	151	14587	"MS"
2007	10	23	158	14614	"MS"
2007	11	24	165	14642	"MS"
2007	12	25	172	14989	"MS"
2007	13	26	179	15170	"MS"
2007	14	27	186	14898	"MS"
2007	15	28	193	14626	"MS"
2007	16	29	200	14608	"MS"
2007	17	30	207	14863	"MS"
2007	18	31	214	15084	"MS"
2007	19	32	221	15317	"MS"
2007	20	33	228	15494	"MS"
2007	21	34	235	14977	"MS"
2007	22	35	242	14461	"MS"
2007	23	36	249	13966	"MS"
2007	24	37	256	13751	"MS"
2007	25	38	263	13772	"MS"
2007	26	39	270	13925	"MS"
2007	27	40	277	14079	"MS"
2007	28	41	284	13391	"MS"
2008	1	16	109	10830	"MS"
2008	2	17	116	11902	"MS"
2008	3	18	123	11097	"MS"
2008	4	19	130	10863	"MS"
2008	5	20	137	10630	"MS"
2008	6	21	144	11194	"MS"
2008	7	22	151	11758	"MS"
2008	8	23	158	12589	"MS"
2008	9	24	165	13901	"MS"
2008	10	25	172	14421	"MS"
2008	11	26	179	15003	"MS"
2008	12	27	186	13684	"MS"
2008	13	28	193	13691	"MS"
2008	14	29	200	13699	"MS"
2008	15	30	207	15360	"MS"
2008	16	31	214	14617	"MS"
2008	17	32	221	13875	"MS"
2008	18	33	228	14645	"MS"
2008	19	34	235	15416	"MS"
2008	20	35	242	14415	"MS"
2008	21	36	249	14462	"MS"
2008	22	37	256	13928	"MS"
2008	23	38	263	14216	"MS"
2008	24	39	270	14504	"MS"
2008	25	40	277	13755	"MS"
2008	26	41	284	13006	"MS"
2009	1	15	102	10389	"MS"
2009	2	16	109	10854	"MS"
2009	3	17	116	11401	"MS"
2009	4	18	123	12252	"MS"
2009	5	19	130	11371	"MS"
2009	6	20	137	10491	"MS"
2009	7	21	144	10497	"MS"
2009	8	22	151	12750	"MS"
2009	9	23	158	12992	"MS"
2009	10	24	165	13234	"MS"
2009	11	25	172	13677	"MS"
2009	12	26	179	14478	"MS"
2009	13	27	186	14911	"MS"
2009	14	28	193	15344	"MS"
2009	15	29	200	14893	"MS"
2009	16	30	207	14443	"MS"
2009	17	31	214	12365	"MS"
2009	18	32	221	13874	"MS"
2009	19	33	228	15384	"MS"
2009	20	34	235	14913	"MS"
2009	21	35	242	15154	"MS"
2009	22	36	249	15395	"MS"
2009	23	37	256	14996	"MS"
2009	24	38	263	14913	"MS"
2009	25	39	270	14734	"MS"
2009	26	40	277	12647	"MS"
2009	27	41	284	12794	"MS"
2009	28	42	291	12942	"MS"
2010	1	16	109	10236	"MS"
2010	2	17	116	10331	"MS"
2010	3	18	123	10440	"MS"
2010	4	19	130	10550	"MS"
2010	5	20	137	13476	"MS"
2010	6	21	144	14118	"MS"
2010	7	22	151	14318	"MS"
2010	8	23	158	14519	"MS"
2010	9	24	165	14538	"MS"
2010	10	25	172	14762	"MS"
2010	11	26	179	13860	"MS"
2010	12	27	186	14678	"MS"
2010	13	28	193	15496	"MS"
2010	14	29	200	14848	"MS"
2010	15	30	207	14673	"MS"
2010	16	31	214	14866	"MS"
2010	17	32	221	15060	"MS"
2010	18	33	228	14745	"MS"
2010	19	34	235	15106	"MS"
2010	20	35	242	15467	"MS"
2010	21	36	249	15361	"MS"
2010	22	37	256	14861	"MS"
2010	23	38	263	14361	"MS"
2010	24	39	270	14422	"MS"
2010	25	40	277	14484	"MS"
2010	26	41	284	14484	"MS"
2011	1	16	109	10868	"MS"
2011	2	17	116	10588	"MS"
2011	3	18	123	10170	"MS"
2011	4	19	130	10178	"MS"
2011	5	20	137	13051	"MS"
2011	6	21	144	12893	"MS"
2011	7	22	151	13631	"MS"
2011	8	23	158	14369	"MS"
2011	9	24	165	13224	"MS"
2011	10	25	172	12846	"MS"
2011	11	26	179	13794	"MS"
2011	12	27	186	14742	"MS"
2011	13	28	193	14805	"MS"
2011	14	29	200	14868	"MS"
2011	15	30	207	15781	"MS"
2011	16	31	214	15473	"MS"
2011	17	32	221	15166	"MS"
2011	18	33	228	15162	"MS"
2011	19	34	235	14896	"MS"
2011	20	35	242	15050	"MS"
2011	21	36	249	15205	"MS"
2011	22	37	256	15019	"MS"
2011	23	38	263	14833	"MS"
2011	24	39	270	14813	"MS"
2011	25	40	277	14233	"MS"
2011	26	41	284	14265	"MS"
2012	1	16	109	11426	"MS"
2012	2	17	116	11549	"MS"
2012	3	18	123	11672	"MS"
2012	4	19	130	11457	"MS"
2012	5	20	137	12916	"MS"
2012	6	21	144	14375	"MS"
2012	7	22	151	14578	"MS"
2012	8	23	158	14782	"MS"
2012	9	24	165	14926	"MS"
2012	10	25	172	15071	"MS"
2012	11	26	179	12894	"MS"
2012	12	27	186	11963	"MS"
2012	13	28	193	12648	"MS"
2012	14	29	200	13333	"MS"
2012	15	30	207	15840	"MS"
2012	16	31	214	15482	"MS"
2012	17	32	221	15124	"MS"
2012	18	33	228	11134	"MS"
2012	19	34	235	13363	"MS"
2012	20	35	242	15592	"MS"
2012	21	36	249	12701	"MS"
2012	22	37	256	13737	"MS"
2012	23	38	263	14774	"MS"
2012	24	39	270	14349	"MS"
2012	25	40	277	14071	"MS"
2012	26	41	284	14071	"MS"
2013	1	16	109	10483	"MS"
2013	2	17	116	11692	"MS"
2013	3	18	123	11400	"MS"
2013	4	19	130	11769	"MS"
2013	5	20	137	12139	"MS"
2013	6	21	144	13406	"MS"
2013	7	22	151	14036	"MS"
2013	8	23	158	14667	"MS"
2013	9	24	165	14891	"MS"
2013	10	25	172	15116	"MS"
2013	11	26	179	15265	"MS"
2013	12	27	186	15588	"MS"
2013	13	28	193	15653	"MS"
2013	14	29	200	15658	"MS"
2013	15	30	207	15664	"MS"
2013	16	31	214	14728	"MS"
2013	17	32	221	15041	"MS"
2013	18	33	228	15355	"MS"
2013	19	34	235	15459	"MS"
2013	20	35	242	15661	"MS"
2013	21	36	249	15409	"MS"
2013	22	37	256	15157	"MS"
2013	23	38	263	14870	"MS"
2013	24	39	270	14584	"MS"
2013	25	40	277	14341	"MS"
2013	26	41	284	13932	"MS"
2014	1	16	109	9864	"MS"
2014	2	17	116	9822	"MS"
2014	3	18	123	9780	"MS"
2014	4	19	130	10543	"MS"
2014	5	20	137	11306	"MS"
2014	6	21	144	11133	"MS"
2014	7	22	151	12081	"MS"
2014	8	23	158	13029	"MS"
2014	9	24	165	12750	"MS"
2014	10	25	172	13682	"MS"
2014	11	26	179	14615	"MS"
2014	12	27	186	14711	"MS"
2014	13	28	193	14469	"MS"
2014	14	29	200	14175	"MS"
2014	15	30	207	13881	"MS"
2014	16	31	214	13981	"MS"
2014	17	32	221	14082	"MS"
2014	18	33	228	14370	"MS"
2014	19	34	235	14659	"MS"
2014	20	35	242	14908	"MS"
2014	21	36	249	14986	"MS"
2014	22	37	256	13956	"MS"
2014	23	38	263	13671	"MS"
2014	24	39	270	13669	"MS"
2014	25	40	277	13668	"MS"
2014	26	41	284	13668	"MS"
2015	1	16	109	10234	"MS"
2015	2	17	116	10128	"MS"
2015	3	18	123	10022	"MS"
2015	4	19	130	9957	"MS"
2015	5	20	137	9938	"MS"
2015	6	21	144	10810	"MS"
2015	7	22	151	11683	"MS"
2015	8	23	158	12479	"MS"
2015	9	24	165	13722	"MS"
2015	10	25	172	12322	"MS"
2015	11	26	179	12223	"MS"
2015	12	27	186	12124	"MS"
2015	13	28	193	15002	"MS"
2015	14	29	200	12215	"MS"
2015	15	30	207	10430	"MS"
2015	16	31	214	12208	"MS"
2015	17	32	221	13986	"MS"
2015	18	33	228	14423	"MS"
2015	19	34	235	10683	"MS"
2015	20	35	242	12616	"MS"
2015	21	36	249	14550	"MS"
2015	22	37	256	12085	"MS"
2015	23	38	263	13106	"MS"
2015	24	39	270	14128	"MS"
2015	25	40	277	13721	"MS"
2015	26	41	284	13315	"MS"
2016	1	16	109	10408	"MS"
2016	2	17	116	10341	"MS"
2016	3	18	123	10085	"MS"
2016	4	19	130	10606	"MS"
2016	5	20	137	11128	"MS"
2016	6	21	144	12464	"MS"
2016	7	22	151	13335	"MS"
2016	8	23	158	13859	"MS"
2016	9	24	165	14383	"MS"
2016	10	25	172	14285	"MS"
2016	11	26	179	13491	"MS"
2016	12	27	186	13891	"MS"
